de,uk,en,topic,level
Ich koche heute Abend Spaghetti.,Я готую спагетті сьогодні ввечері.,I am cooking spaghetti tonight.,Food & Cooking,A1
Die Orange ist nicht blau.,Апельсин не синій.,The orange is not blue.,Colors and Everyday Objects,A1
Der Zug fährt pünktlich ab.,Поїзд відправляється вчасно.,The train is leaving on time.,Public Transport,A1
Ich mag Äpfel und Erdbeeren.,Я люблю яблука та полуниці.,I like apples and strawberries.,Fruits and Vegetables Variety,A1
Mein Geburtstag ist im Sommer.,Мій день народження влітку.,My birthday is in summer.,Birthdays,A1
Wir essen im Wohnzimmer.,Ми їмо у вітальні.,We eat in the living room.,Rooms in the House and Apartment,A1
Das Auto fährt nach Berlin.,Машина їде до Берліна.,The car is driving to Berlin.,Travel & Transport,A1
Ich mag Pommes und Currywurst.,Я люблю картоплю фрі та карі-вурст.,I like fries and currywurst.,Fast Food,A1
Wie viel kostet die Gurke?,Скільки коштує огірок?,How much does the cucumber cost?,Grocery Prices,A1
Ich laufe jeden Morgen schnell.,Я бігаю щоранку швидко.,I run fast every morning.,Health & Fitness,A1
Ich träume von großen Reisen.,Я мрію про великі подорожі.,I dream of big travels.,Sleep & Dreams,A1
Sie spielt gern Tennis am Nachmittag.,Вона любить грати в теніс вдень.,She likes to play tennis in the afternoon.,Sports & Games,A1
Meine Freundin ist sehr nett.,Моя подруга дуже мила.,My girlfriend is very nice.,Friendship,A1
Wo finde ich frische Milch?,Де я можу знайти свіже молоко?,Where can I find fresh milk?,Shopping & Groceries,A1
Die Kirche ist sehr alt.,Церква дуже стара.,The church is very old.,City Objects and Places,A1
Ich kaufe Schuhe online nicht.,Я не купую взуття онлайн.,I don't buy shoes online.,Online Shopping,A1
Sie liest Bücher jeden Abend.,Вона читає книги щовечора.,She reads books every evening.,Books & Literature,A1
Das Fahrrad ist rot und schnell.,Велосипед червоний і швидкий.,The bicycle is red and fast.,Bicycles & Cycling,A1
Wie spät ist es jetzt?,Котра зараз година?,What time is it now?,Time of Day and Clocks,A1
Ich brauche Brot und Käse.,Мені потрібні хліб і сир.,I need bread and cheese.,Simple Shopping Items in Supermarket,A1
Am Morgen esse ich Brot.,Вранці я їм хліб.,"In the morning, I eat bread.",Time of Day and Food,A1
Die Ampel ist jetzt grün.,Світлофор зараз зелений.,The traffic light is green now.,City Objects and Places,A1
Wo ist mein neuer Rucksack?,Де мій новий рюкзак?,Where is my new backpack?,School Supplies and Office Items,A1
Ich tanze gern zu Musik.,Я люблю танцювати під музику.,I like to dance to music.,Hobbies & Free Time,A1
Mein bester Freund hilft mir.,Мій найкращий друг допомагає мені.,My best friend helps me.,Friends Descriptions and Activities,A1
Die Milch kostet zwei Euro.,Молоко коштує два євро.,The milk costs two euros.,Grocery Prices,A1
Ich fahre mit dem Fahrrad.,Я їду на велосипеді.,I am riding the bicycle.,Transport Variety and Vehicles,A1
Ich habe heute Geburtstag.,Сьогодні у мене день народження.,Today is my birthday.,Birthdays and Party Items,A1
Wir spielen nicht im Team.,Ми не граємо в команді.,We are not playing in a team.,Team Sports,A1
Mein Bruder ist sehr nett.,Мій брат дуже милий.,My brother is very nice.,Family & Relationships,A1
Ich schwimme im kalten Wasser.,Я плаваю в холодній воді.,I am swimming in cold water.,Swimming & Water Sports,A1
Heute ist das Wetter schön.,Сьогодні гарна погода.,Today the weather is nice.,Weather & Seasons,A1
Ich kaufe Obst und Gemüse.,Я купую фрукти та овочі.,I am buying fruits and vegetables.,Shopping & Groceries,A1
Ich möchte bitte Käse haben.,"Я хотів би, будь ласка, сир.","I would like to have cheese, please.",Simple Shopping Items in Supermarket,A1
Ich trinke Kaffee am Nachmittag.,Я п'ю каву вдень.,I drink coffee in the afternoon.,Coffee Culture,A1
Ich lese ein spannendes Buch.,Я читаю захоплюючу книгу.,I am reading an exciting book.,Hobbies besides Sports,A1
Das Auto ist sehr schnell.,Автомобіль дуже швидкий.,The car is very fast.,Driving & Cars,A1
Ich wohne in der Stadt.,Я живу в місті.,I live in the city.,City Life,A1
Der Wecker klingelt um sieben.,Будильник дзвонить о сьомій.,The alarm clock rings at seven.,Time of Day and Clocks,A1
Welche Farbe hat die Blume?,Якого кольору квітка?,What color is the flower?,Nature & Colors,A1
Das Auto fährt sehr schnell.,Автомобіль їде дуже швидко.,The car drives very fast.,Auto,A1
Ich spiele gern mit Freunden.,Я люблю грати з друзями.,I like to play with friends.,Hobbies & Free Time,A1
Das Restaurant hat leckeres Essen.,У ресторані смачна їжа.,The restaurant has delicious food.,Restaurants & Cafes,A1
Meine Familie ist sehr wichtig.,Моя сім'я дуже важлива.,My family is very important.,Family & Relationships,A1
Ich gehe oft ins Fitnessstudio.,Я часто ходжу у спортзал.,I often go to the gym.,Health & Fitness,A1
